latitude,longitude,photo
42.081160,19.126344,https://d7gy61eg0y55j.cloudfront.net/0010_cfeba5e07e0ff3e9b87ecd3553d16bf7.png
42.085954,19.124586,
42.086205,19.124170,https://d7gy61eg0y55j.cloudfront.net/0011_e1bd41d609195635ed5ee9194747be30.png
42.092374,19.111651,https://d7gy61eg0y55j.cloudfront.net/0009_679d526eadf5269a48e1fa7f2da22aed.png
42.093652,19.098018,
42.094561,19.096036,
42.094983,19.096330,
42.095357,19.096290,
42.106232,19.090836,
42.106436,19.090781,
42.106665,19.090341,
42.332159,19.209943,https://d7gy61eg0y55j.cloudfront.net/0004_9cb30eee79da40291a9d1f97c6de2eee.png
42.333104,19.210194,
42.333146,19.210227,
42.333340,19.210579,https://d7gy61eg0y55j.cloudfront.net/0005_29fe9aa401e89fb8e012ee016468cdfd.png
42.366336,19.227117,https://d7gy61eg0y55j.cloudfront.net/0003_2069a37106611daa2db78f87203d3ecf.png
42.366800,19.227320,https://d7gy61eg0y55j.cloudfront.net/0001_022af310dfec187a00dc0d5ac20985f2.png
42.367407,19.226560,https://d7gy61eg0y55j.cloudfront.net/0002_0f773347e6f2c794f4280d85a4844625.png
42.420016,19.254603,https://d7gy61eg0y55j.cloudfront.net/0007_dffdf7c661424b0b449c142680388333.png
42.420275,19.255605,
42.420394,19.254662,
42.420536,19.255421,
42.420796,19.254291,
42.421085,19.255393,https://d7gy61eg0y55j.cloudfront.net/0006_db75ec0e54265291ee7d24ee8a3086ba.png
42.423495,19.268780,
42.423591,19.268406,
42.434447,19.253551,
42.434479,19.253462,
42.434494,19.253800,
42.434560,19.253809,
42.434877,19.228354,
42.435009,19.253490,https://d7gy61eg0y55j.cloudfront.net/0016_1ccf65e6e4072f10dadf58ba653f3ab7.jpg
42.435045,19.228060,
42.435262,19.242742,
42.435392,19.275519,
42.435442,19.228783,
42.435510,19.228269,https://d7gy61eg0y55j.cloudfront.net/0020_9b2577092daae06fcf35ccb89c14a750.jpg
42.435535,19.242431,
42.435623,19.242541,https://d7gy61eg0y55j.cloudfront.net/0008_389a544b964d89ffc51f6dac784ffb60.png
42.435727,19.274703,https://d7gy61eg0y55j.cloudfront.net/0017_61223b8eb822d1075146afed35c5ee87.jpg
42.435931,19.242605,
42.435953,19.275436,
42.440845,19.263368,https://d7gy61eg0y55j.cloudfront.net/0012_b678d51e7779412ed4181b59ca6011f6.png
42.441270,19.244408,
42.441487,19.244931,
42.441533,19.244002,https://d7gy61eg0y55j.cloudfront.net/0014_1e80d01bdb377317301ad48972d94ab4.png
42.441546,19.245264,
42.441713,19.244349,
42.442061,19.244711,
42.442234,19.245064,
42.442462,19.247886,
42.443289,19.248201,
42.443395,19.248521,
42.445219,19.263033,https://d7gy61eg0y55j.cloudfront.net/0013_88d877ca2017fc001e98c73acab2ba9e.png
42.445332,19.257295,
42.445406,19.256942,
42.445623,19.256724,https://d7gy61eg0y55j.cloudfront.net/0019_b5c02cc81e64c4e5fe54ba2083775df2.jpg
42.451379,19.262130,
42.451702,19.262341,https://d7gy61eg0y55j.cloudfront.net/0015_c7a78bc37a3b43cbf284c5b2904d8337.jpg
42.452220,19.262485,https://d7gy61eg0y55j.cloudfront.net/0018_a42f42da3f373dda9d378cf3c8b2c6a4.jpg
42.058191,19.129700,
42.059003,19.130187,
42.057066,19.134708,
42.442816,19.248290,
42.441948,19.244204,
42.435624,19.260349,
42.442883,19.248578,
42.443246,19.247857,
42.435157,19.274817,
42.435200,19.276187,
42.107160,19.090448,
42.106704,19.091363,
42.102386,19.098616,
42.101487,19.098449,
42.094183,19.098473,
42.093843,19.097791,
42.093132,19.098611,
42.093531,19.099144,
42.092031,19.110774,
42.092256,19.110937,
42.085667,19.124674,
42.101728,19.098911,
42.102090,19.097700,
42.101956,19.099184,
42.142701,19.045607,
42.153211,19.033306,
42.439999,19.259115,
42.439952,19.259204,
42.442393,19.263954,
42.440037,19.258727,
42.439707,19.259380,
42.453630,19.286111,
42.454439,19.286998,
42.432597,19.268607,
42.397477,19.298752,
42.396565,19.298846,
42.424648,19.267514,
42.435018,19.263751,
42.434202,19.263203,
42.424555,19.268787,
42.154132,19.032672,
42.153482,19.032228,
42.472671,19.251922,
42.472591,19.252235,
42.472968,19.251909,
